kota_administrasi,kecamatan,kelurahan,rw,tgl_kejadian,bulan_kejadian,rainFall_mm,rainDuration_minutes,ketinggian_air_min_cm,ketinggian_air_max_cm,waktu_kejadian
Jakarta Utara,Koja,Tugu Utara,09,2024-03-28,Maret,156.9,120,30,83,22:24
Jakarta Utara,Koja,Tugu Utara,03,2024-03-09,Maret,133.8,127,20,93,09:18
Jakarta Utara,Koja,Tugu Utara,11,2024-04-13,April,48.3,21,4,28,11:54
Jakarta Utara,Koja,Tugu Utara,10,2024-05-23,Mei,58.0,3,8,15,18:35
Jakarta Utara,Koja,Tugu Utara,05,2024-06-05,Juni,27.6,26,0,41,05:44
Jakarta Utara,Koja,Tugu Utara,02,2024-07-08,Juli,0.0,54,2,28,14:16
Jakarta Utara,Koja,Tugu Utara,07,2024-08-23,Agustus,31.6,20,4,18,00:42
Jakarta Utara,Koja,Tugu Utara,07,2024-09-27,September,32.3,22,15,21,22:25
Jakarta Utara,Koja,Tugu Utara,03,2024-10-06,Oktober,156.7,183,26,63,03:51
Jakarta Utara,Koja,Tugu Utara,07,2024-10-09,Oktober,167.1,200,30,63,13:02
Jakarta Utara,Koja,Tugu Utara,11,2024-11-24,November,99.9,122,9,39,03:10
Jakarta Utara,Koja,Tugu Utara,15,2024-11-02,November,103.2,149,19,62,14:58
Jakarta Utara,Koja,Tugu Utara,05,2024-12-12,Desember,209.9,84,25,84,05:52
Jakarta Utara,Koja,Tugu Utara,15,2024-12-10,Desember,196.1,62,16,83,20:37
Jakarta Utara,Koja,Tugu Selatan,12,2024-01-20,Januari,188.8,172,22,76,17:36
Jakarta Utara,Koja,Tugu Selatan,15,2024-01-17,Januari,186.3,167,17,64,13:45
Jakarta Utara,Koja,Tugu Selatan,07,2024-02-28,Februari,79.8,204,34,100,07:15
Jakarta Utara,Koja,Tugu Selatan,14,2024-02-05,Februari,98.7,202,46,95,21:59
Jakarta Utara,Koja,Tugu Selatan,07,2024-03-17,Maret,179.5,46,20,67,18:46
Jakarta Utara,Koja,Tugu Selatan,09,2024-03-06,Maret,186.1,67,27,54,11:12
Jakarta Utara,Koja,Tugu Selatan,15,2024-04-03,April,32.4,54,1,15,16:07
Jakarta Utara,Koja,Tugu Selatan,12,2024-05-16,Mei,51.4,7,6,30,05:19
Jakarta Utara,Koja,Tugu Selatan,08,2024-06-09,Juni,57.6,31,5,23,01:57
Jakarta Utara,Koja,Tugu Selatan,05,2024-07-16,Juli,32.9,21,7,33,22:53
Jakarta Utara,Koja,Tugu Selatan,05,2024-08-19,Agustus,44.2,40,6,25,06:18
Jakarta Utara,Koja,Tugu Selatan,02,2024-09-17,September,15.8,42,10,42,01:27
Jakarta Utara,Koja,Tugu Selatan,05,2024-10-14,Oktober,58.2,133,20,105,03:17
Jakarta Utara,Koja,Tugu Selatan,01,2024-10-08,Oktober,46.0,142,7,100,16:04
Jakarta Utara,Koja,Tugu Selatan,10,2024-11-03,November,91.1,109,14,128,09:00
Jakarta Utara,Koja,Tugu Selatan,11,2024-11-21,November,93.7,121,31,108,12:45
Jakarta Utara,Koja,Tugu Selatan,07,2024-12-17,Desember,40.7,45,32,54,01:55
Jakarta Utara,Koja,Tugu Selatan,14,2024-12-15,Desember,35.8,61,35,47,01:14
Jakarta Utara,Koja,Lagoa,09,2024-01-20,Januari,122.4,183,38,109,08:18
Jakarta Utara,Koja,Lagoa,11,2024-01-14,Januari,130.3,174,39,105,14:11
Jakarta Utara,Koja,Lagoa,03,2024-02-16,Februari,118.9,78,10,100,08:00
Jakarta Utara,Koja,Lagoa,14,2024-02-07,Februari,128.1,72,11,101,11:08
Jakarta Utara,Koja,Lagoa,02,2024-03-22,Maret,110.5,182,26,44,20:46
Jakarta Utara,Koja,Lagoa,02,2024-03-15,Maret,86.3,176,17,58,01:58
Jakarta Utara,Koja,Lagoa,08,2024-04-15,April,27.8,2,4,45,17:55
Jakarta Utara,Koja,Lagoa,10,2024-05-02,Mei,10.6,56,7,14,13:03
Jakarta Utara,Koja,Lagoa,06,2024-06-23,Juni,21.1,46,6,18,22:56
Jakarta Utara,Koja,Lagoa,08,2024-07-17,Juli,4.5,2,3,9,10:22
Jakarta Utara,Koja,Lagoa,04,2024-08-17,Agustus,47.8,13,10,29,14:37
Jakarta Utara,Koja,Lagoa,06,2024-09-14,September,43.4,43,1,18,17:27
Jakarta Utara,Koja,Lagoa,02,2024-10-23,Oktober,62.5,223,5,70,01:15
Jakarta Utara,Koja,Lagoa,01,2024-10-08,Oktober,84.7,207,21,92,02:39
Jakarta Utara,Koja,Lagoa,04,2024-11-17,November,105.9,208,40,79,14:35
Jakarta Utara,Koja,Lagoa,03,2024-11-01,November,95.0,184,34,81,17:01
Jakarta Utara,Koja,Lagoa,04,2024-12-03,Desember,78.8,103,36,80,20:17
Jakarta Utara,Koja,Lagoa,12,2024-12-20,Desember,75.8,80,32,62,21:05
Jakarta Utara,Cilincing,Kali Baru,15,2024-01-16,Januari,148.2,63,10,72,06:22
Jakarta Utara,Cilincing,Kali Baru,04,2024-01-01,Januari,141.4,77,9,73,09:56
Jakarta Utara,Cilincing,Kali Baru,10,2024-02-12,Februari,70.0,244,42,108,00:58
Jakarta Utara,Cilincing,Kali Baru,12,2024-02-07,Februari,69.0,250,41,105,07:23
Jakarta Utara,Cilincing,Kali Baru,07,2024-03-04,Maret,81.2,151,30,69,20:57
Jakarta Utara,Cilincing,Kali Baru,02,2024-03-06,Maret,80.2,157,30,47,02:38
Jakarta Utara,Cilincing,Kali Baru,14,2024-04-02,April,48.9,33,2,5,12:31
Jakarta Utara,Cilincing,Kali Baru,15,2024-05-10,Mei,22.3,53,6,18,22:20
Jakarta Utara,Cilincing,Kali Baru,11,2024-06-17,Juni,68.4,33,4,14,12:34
Jakarta Utara,Cilincing,Kali Baru,15,2024-07-01,Juli,3.5,46,7,39,02:59
Jakarta Utara,Cilincing,Kali Baru,13,2024-08-12,Agustus,48.5,51,11,20,07:25
Jakarta Utara,Cilincing,Kali Baru,01,2024-09-05,September,24.4,15,13,21,00:15
Jakarta Utara,Cilincing,Kali Baru,01,2024-10-15,Oktober,178.7,106,16,34,01:05
Jakarta Utara,Cilincing,Kali Baru,14,2024-10-12,Oktober,212.9,109,29,52,18:40
Jakarta Utara,Cilincing,Kali Baru,02,2024-11-01,November,142.1,108,16,74,13:12
Jakarta Utara,Cilincing,Kali Baru,10,2024-11-19,November,145.3,111,19,98,04:44
Jakarta Utara,Cilincing,Kali Baru,03,2024-12-27,Desember,121.6,234,31,45,21:28
Jakarta Utara,Cilincing,Kali Baru,05,2024-12-14,Desember,136.1,227,27,60,19:00
Jakarta Utara,Cilincing,Cilincing,02,2024-01-10,Januari,84.9,70,10,132,13:47
Jakarta Utara,Cilincing,Cilincing,05,2024-01-05,Januari,117.4,71,10,119,02:04
Jakarta Utara,Cilincing,Cilincing,06,2024-02-11,Februari,156.8,184,19,63,12:51
Jakarta Utara,Cilincing,Cilincing,09,2024-02-16,Februari,172.5,200,13,76,01:43
Jakarta Utara,Cilincing,Cilincing,05,2024-03-14,Maret,53.9,167,17,112,10:16
Jakarta Utara,Cilincing,Cilincing,14,2024-03-19,Maret,48.1,195,15,117,21:09
Jakarta Utara,Cilincing,Cilincing,08,2024-04-06,April,56.7,30,8,25,17:03
Jakarta Utara,Cilincing,Cilincing,15,2024-05-07,Mei,5.8,30,6,40,20:37
Jakarta Utara,Cilincing,Cilincing,08,2024-06-20,Juni,19.4,4,5,39,10:03
Jakarta Utara,Cilincing,Cilincing,07,2024-07-19,Juli,28.5,45,11,28,11:43
Jakarta Utara,Cilincing,Cilincing,06,2024-08-25,Agustus,56.7,49,8,10,02:17
Jakarta Utara,Cilincing,Cilincing,03,2024-09-27,September,15.7,11,2,30,10:21
Jakarta Utara,Cilincing,Cilincing,11,2024-10-21,Oktober,107.5,177,8,54,12:46
Jakarta Utara,Cilincing,Cilincing,15,2024-10-21,Oktober,111.9,178,9,39,16:42
Jakarta Utara,Cilincing,Cilincing,08,2024-11-23,November,154.6,142,21,94,17:42
Jakarta Utara,Cilincing,Cilincing,01,2024-11-18,November,182.2,137,33,86,15:30
Jakarta Utara,Cilincing,Cilincing,01,2024-12-07,Desember,140.6,181,29,70,06:42
Jakarta Utara,Cilincing,Cilincing,01,2024-12-06,Desember,154.4,177,34,91,04:01
Jakarta Utara,Cilincing,Semper Barat,08,2024-01-25,Januari,164.9,153,27,98,18:57
Jakarta Utara,Cilincing,Semper Barat,06,2024-01-02,Januari,186.5,169,20,119,19:49
Jakarta Utara,Cilincing,Semper Barat,03,2024-02-07,Februari,146.9,123,11,116,07:44
Jakarta Utara,Cilincing,Semper Barat,10,2024-02-24,Februari,155.0,127,22,115,20:10
Jakarta Utara,Cilincing,Semper Barat,12,2024-03-19,Maret,118.2,173,43,53,07:01
Jakarta Utara,Cilincing,Semper Barat,05,2024-03-03,Maret,137.4,195,34,52,09:46
Jakarta Utara,Cilincing,Semper Barat,07,2024-04-22,April,70.2,7,8,19,04:38
Jakarta Utara,Cilincing,Semper Barat,03,2024-05-17,Mei,40.5,59,12,30,03:34
Jakarta Utara,Cilincing,Semper Barat,11,2024-06-22,Juni,46.0,43,7,7,08:15
Jakarta Utara,Cilincing,Semper Barat,11,2024-07-19,Juli,47.3,43,10,17,05:00
Jakarta Utara,Cilincing,Semper Barat,13,2024-08-18,Agustus,9.2,59,10,26,01:06
Jakarta Utara,Cilincing,Semper Barat,01,2024-09-01,September,41.6,32,7,44,21:22
Jakarta Utara,Cilincing,Semper Barat,12,2024-10-21,Oktober,163.2,114,6,104,19:44
Jakarta Utara,Cilincing,Semper Barat,07,2024-10-08,Oktober,142.5,124,12,107,22:31
Jakarta Utara,Cilincing,Semper Barat,14,2024-11-15,November,47.7,121,14,65,06:24
Jakarta Utara,Cilincing,Semper Barat,10,2024-11-09,November,57.5,134,11,74,12:11
Jakarta Utara,Cilincing,Semper Barat,07,2024-12-10,Desember,33.0,67,14,70,19:30
Jakarta Utara,Cilincing,Semper Barat,07,2024-12-18,Desember,61.0,96,1,84,09:20
Jakarta Utara,Cilincing,Semper Timur,15,2024-01-07,Januari,115.3,105,19,59,20:29
Jakarta Utara,Cilincing,Semper Timur,05,2024-01-13,Januari,104.8,77,19,47,15:05
Jakarta Utara,Cilincing,Semper Timur,03,2024-02-10,Februari,160.4,116,20,56,07:53
Jakarta Utara,Cilincing,Semper Timur,12,2024-02-16,Februari,173.9,132,23,48,19:08
Jakarta Utara,Cilincing,Semper Timur,06,2024-03-01,Maret,65.9,146,17,108,10:41
Jakarta Utara,Cilincing,Semper Timur,15,2024-03-21,Maret,74.3,159,21,102,01:03
Jakarta Utara,Cilincing,Semper Timur,07,2024-04-01,April,53.6,20,7,22,08:08
Jakarta Utara,Cilincing,Semper Timur,06,2024-05-22,Mei,34.9,76,3,19,18:24
Jakarta Utara,Cilincing,Semper Timur,04,2024-06-19,Juni,70.8,28,5,23,03:39
Jakarta Utara,Cilincing,Semper Timur,03,2024-07-06,Juli,52.5,68,0,11,02:52
Jakarta Utara,Cilincing,Semper Timur,13,2024-08-19,Agustus,12.8,39,4,9,15:11
Jakarta Utara,Cilincing,Semper Timur,10,2024-09-14,September,61.2,27,1,8,04:23
Jakarta Utara,Cilincing,Semper Timur,03,2024-10-19,Oktober,68.9,66,33,63,08:04
Jakarta Utara,Cilincing,Semper Timur,15,2024-10-16,Oktober,91.3,68,43,62,07:29
Jakarta Utara,Cilincing,Semper Timur,01,2024-11-03,November,172.3,167,1,112,01:40
Jakarta Utara,Cilincing,Semper Timur,06,2024-11-09,November,178.4,186,18,117,09:36
Jakarta Utara,Cilincing,Semper Timur,05,2024-12-01,Desember,150.1,149,40,99,15:58
Jakarta Utara,Cilincing,Semper Timur,10,2024-12-28,Desember,145.0,146,31,106,06:06
Jakarta Utara,Cilincing,Sukapura,04,2024-01-22,Januari,109.4,47,28,61,01:22
Jakarta Utara,Cilincing,Sukapura,13,2024-01-20,Januari,88.6,72,42,61,10:04
Jakarta Utara,Cilincing,Sukapura,07,2024-02-02,Februari,88.1,155,25,44,20:20
Jakarta Utara,Cilincing,Sukapura,01,2024-02-22,Februari,111.8,133,15,40,01:41
Jakarta Utara,Cilincing,Sukapura,02,2024-03-10,Maret,89.2,200,26,65,12:10
Jakarta Utara,Cilincing,Sukapura,03,2024-03-14,Maret,121.9,212,25,51,21:05
Jakarta Utara,Cilincing,Sukapura,05,2024-04-20,April,24.3,47,5,42,07:37
Jakarta Utara,Cilincing,Sukapura,03,2024-05-22,Mei,51.7,48,6,30,10:53
Jakarta Utara,Cilincing,Sukapura,12,2024-06-04,Juni,15.5,39,9,23,09:33
Jakarta Utara,Cilincing,Sukapura,03,2024-07-19,Juli,26.6,17,12,20,15:06
Jakarta Utara,Cilincing,Sukapura,01,2024-08-09,Agustus,58.1,39,4,21,20:05
Jakarta Utara,Cilincing,Sukapura,05,2024-09-15,September,46.5,55,11,13,18:59
Jakarta Utara,Cilincing,Sukapura,07,2024-10-11,Oktober,181.6,117,33,112,21:14
Jakarta Utara,Cilincing,Sukapura,04,2024-10-26,Oktober,172.8,118,28,129,11:51
Jakarta Utara,Cilincing,Sukapura,06,2024-11-04,November,180.3,222,28,113,23:55
Jakarta Utara,Cilincing,Sukapura,07,2024-11-25,November,192.1,210,31,118,16:26
Jakarta Utara,Cilincing,Sukapura,15,2024-12-24,Desember,173.5,180,19,118,05:56
Jakarta Utara,Cilincing,Sukapura,02,2024-12-09,Desember,171.9,167,22,116,08:30
Jakarta Utara,Cilincing,Rorotan,04,2024-01-17,Januari,192.1,257,27,93,12:08
Jakarta Utara,Cilincing,Rorotan,15,2024-01-08,Januari,189.6,238,16,94,10:21
Jakarta Utara,Cilincing,Rorotan,07,2024-02-07,Februari,122.4,159,25,58,12:55
Jakarta Utara,Cilincing,Rorotan,07,2024-02-18,Februari,119.1,149,40,66,20:11
Jakarta Utara,Cilincing,Rorotan,11,2024-03-19,Maret,189.3,102,20,71,03:14
Jakarta Utara,Cilincing,Rorotan,06,2024-03-20,Maret,178.1,107,22,77,13:54
Jakarta Utara,Cilincing,Rorotan,09,2024-04-16,April,55.8,52,4,49,08:46
Jakarta Utara,Cilincing,Rorotan,06,2024-05-09,Mei,0.6,21,12,15,22:54
Jakarta Utara,Cilincing,Rorotan,15,2024-06-04,Juni,5.3,39,5,10,03:36
Jakarta Utara,Cilincing,Rorotan,06,2024-07-12,Juli,57.0,34,8,29,03:30
Jakarta Utara,Cilincing,Rorotan,12,2024-08-25,Agustus,5.6,40,12,38,20:41
Jakarta Utara,Cilincing,Rorotan,14,2024-09-20,September,32.1,1,5,17,01:32
Jakarta Utara,Cilincing,Rorotan,15,2024-10-18,Oktober,140.7,141,29,62,16:01
Jakarta Utara,Cilincing,Rorotan,15,2024-10-28,Oktober,176.8,150,23,58,22:50
Jakarta Utara,Cilincing,Rorotan,10,2024-11-26,November,161.6,121,32,89,17:30
Jakarta Utara,Cilincing,Rorotan,02,2024-11-11,November,172.4,122,22,105,01:31
Jakarta Utara,Cilincing,Rorotan,07,2024-12-18,Desember,89.8,101,34,77,05:28
Jakarta Utara,Cilincing,Rorotan,11,2024-12-28,Desember,66.9,96,36,50,10:56
Jakarta Utara,Cilincing,Marunda,08,2024-01-11,Januari,81.6,94,26,67,11:50
Jakarta Utara,Cilincing,Marunda,13,2024-01-26,Januari,72.7,56,27,89,00:49
Jakarta Utara,Cilincing,Marunda,02,2024-02-18,Februari,47.3,147,32,47,08:03
Jakarta Utara,Cilincing,Marunda,13,2024-02-24,Februari,66.2,149,15,65,12:23
Jakarta Utara,Cilincing,Marunda,04,2024-03-19,Maret,44.9,169,40,118,19:54
Jakarta Utara,Cilincing,Marunda,11,2024-03-22,Maret,68.8,187,39,102,17:13
Jakarta Utara,Cilincing,Marunda,07,2024-04-01,April,33.5,3,6,26,05:36
Jakarta Utara,Cilincing,Marunda,05,2024-05-08,Mei,55.7,31,0,6,10:13
Jakarta Utara,Cilincing,Marunda,09,2024-06-12,Juni,5.3,30,7,28,14:07
Jakarta Utara,Cilincing,Marunda,05,2024-07-17,Juli,46.4,57,6,19,16:20
Jakarta Utara,Cilincing,Marunda,03,2024-08-05,Agustus,56.9,36,2,29,11:34
Jakarta Utara,Cilincing,Marunda,08,2024-09-13,September,34.4,24,5,28,20:30
Jakarta Utara,Cilincing,Marunda,07,2024-10-02,Oktober,125.9,87,13,117,13:59
Jakarta Utara,Cilincing,Marunda,08,2024-10-05,Oktober,136.4,76,13,97,19:40
Jakarta Utara,Cilincing,Marunda,11,2024-11-18,November,65.7,224,47,98,04:08
Jakarta Utara,Cilincing,Marunda,05,2024-11-24,November,69.0,211,28,117,08:06
Jakarta Utara,Cilincing,Marunda,07,2024-12-02,Desember,151.6,202,29,47,23:09
Jakarta Utara,Cilincing,Marunda,11,2024-12-15,Desember,115.3,187,39,41,03:59
Jakarta Utara,Pademangan,Pademangan Timur,04,2024-01-04,Januari,163.1,147,34,75,13:04
Jakarta Utara,Pademangan,Pademangan Timur,14,2024-01-10,Januari,163.5,154,38,80,21:32
Jakarta Utara,Pademangan,Pademangan Timur,01,2024-02-27,Februari,104.7,169,19,66,15:21
Jakarta Utara,Pademangan,Pademangan Timur,15,2024-02-13,Februari,106.5,142,22,61,06:30
Jakarta Utara,Pademangan,Pademangan Timur,01,2024-03-06,Maret,158.6,178,19,75,14:48
Jakarta Utara,Pademangan,Pademangan Timur,03,2024-03-12,Maret,164.7,182,18,80,22:10
Jakarta Utara,Pademangan,Pademangan Timur,15,2024-04-24,April,43.0,48,6,31,05:38
Jakarta Utara,Pademangan,Pademangan Timur,08,2024-05-18,Mei,78.4,21,0,17,16:12
Jakarta Utara,Pademangan,Pademangan Timur,13,2024-06-02,Juni,13.9,21,10,42,21:38
Jakarta Utara,Pademangan,Pademangan Timur,06,2024-07-06,Juli,6.8,42,9,16,22:14
Jakarta Utara,Pademangan,Pademangan Timur,10,2024-08-23,Agustus,59.7,32,8,36,19:25
Jakarta Utara,Pademangan,Pademangan Timur,10,2024-09-14,September,18.3,75,3,31,04:39
Jakarta Utara,Pademangan,Pademangan Timur,12,2024-10-15,Oktober,83.8,199,43,61,05:34
Jakarta Utara,Pademangan,Pademangan Timur,10,2024-10-27,Oktober,77.4,192,38,54,06:28
Jakarta Utara,Pademangan,Pademangan Timur,14,2024-11-19,November,91.9,177,18,88,04:50
Jakarta Utara,Pademangan,Pademangan Timur,04,2024-11-26,November,104.0,177,17,90,15:50
Jakarta Utara,Pademangan,Pademangan Timur,05,2024-12-04,Desember,68.1,198,27,77,17:43
Jakarta Utara,Pademangan,Pademangan Timur,12,2024-12-14,Desember,50.4,201,24,92,15:08
Jakarta Utara,Pademangan,Pademangan Barat,04,2024-01-05,Januari,123.0,66,50,104,14:17
Jakarta Utara,Pademangan,Pademangan Barat,11,2024-01-17,Januari,146.5,63,41,115,14:43
Jakarta Utara,Pademangan,Pademangan Barat,15,2024-02-25,Februari,82.5,90,44,65,21:14
Jakarta Utara,Pademangan,Pademangan Barat,07,2024-02-14,Februari,92.6,114,27,81,14:07
Jakarta Utara,Pademangan,Pademangan Barat,12,2024-03-01,Maret,64.3,55,44,91,04:06
Jakarta Utara,Pademangan,Pademangan Barat,07,2024-03-16,Maret,70.6,80,32,81,18:15
Jakarta Utara,Pademangan,Pademangan Barat,05,2024-04-26,April,27.4,58,1,29,14:12
Jakarta Utara,Pademangan,Pademangan Barat,14,2024-05-18,Mei,35.3,7,11,32,19:34
Jakarta Utara,Pademangan,Pademangan Barat,09,2024-06-05,Juni,56.9,50,3,31,14:08
Jakarta Utara,Pademangan,Pademangan Barat,10,2024-07-18,Juli,25.9,36,2,44,18:44
Jakarta Utara,Pademangan,Pademangan Barat,04,2024-08-27,Agustus,17.9,1,7,26,15:32
Jakarta Utara,Pademangan,Pademangan Barat,13,2024-09-26,September,14.8,1,8,15,15:15
Jakarta Utara,Pademangan,Pademangan Barat,01,2024-10-02,Oktober,58.2,213,25,37,12:31
Jakarta Utara,Pademangan,Pademangan Barat,12,2024-10-28,Oktober,56.8,195,32,49,06:40
Jakarta Utara,Pademangan,Pademangan Barat,09,2024-11-11,November,199.0,155,11,87,18:51
Jakarta Utara,Pademangan,Pademangan Barat,12,2024-11-08,November,184.7,143,10,61,02:13
Jakarta Utara,Pademangan,Pademangan Barat,13,2024-12-23,Desember,130.3,52,29,85,23:42
Jakarta Utara,Pademangan,Pademangan Barat,14,2024-12-11,Desember,156.1,47,30,79,08:00
Jakarta Utara,Pademangan,Ancol,14,2024-01-04,Januari,66.5,219,20,66,00:13
Jakarta Utara,Pademangan,Ancol,11,2024-01-04,Januari,71.9,231,30,60,06:33
Jakarta Utara,Pademangan,Ancol,09,2024-02-06,Februari,80.3,182,12,125,04:56
Jakarta Utara,Pademangan,Ancol,08,2024-02-16,Februari,96.1,213,27,112,03:53
Jakarta Utara,Pademangan,Ancol,02,2024-03-07,Maret,116.5,97,16,115,15:09
Jakarta Utara,Pademangan,Ancol,12,2024-03-19,Maret,129.0,118,3,113,14:05
Jakarta Utara,Pademangan,Ancol,04,2024-04-07,April,33.7,37,2,31,02:44
Jakarta Utara,Pademangan,Ancol,14,2024-05-24,Mei,36.6,18,11,16,19:09
Jakarta Utara,Pademangan,Ancol,14,2024-06-07,Juni,12.6,5,2,4,05:58
Jakarta Utara,Pademangan,Ancol,13,2024-07-21,Juli,5.8,51,14,41,08:26
Jakarta Utara,Pademangan,Ancol,06,2024-08-23,Agustus,34.5,43,3,36,01:57
Jakarta Utara,Pademangan,Ancol,05,2024-09-01,September,69.0,5,14,22,04:42
Jakarta Utara,Pademangan,Ancol,13,2024-10-09,Oktober,134.2,181,27,63,21:18
Jakarta Utara,Pademangan,Ancol,05,2024-10-25,Oktober,112.6,197,40,77,22:39
Jakarta Utara,Pademangan,Ancol,12,2024-11-05,November,145.9,121,14,122,08:58
Jakarta Utara,Pademangan,Ancol,07,2024-11-24,November,175.9,138,16,121,03:43
Jakarta Utara,Pademangan,Ancol,15,2024-12-17,Desember,75.5,192,32,93,20:16
Jakarta Utara,Pademangan,Ancol,01,2024-12-01,Desember,70.6,190,30,89,14:54
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,14,2024-01-22,Januari,93.7,168,6,86,10:34
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,10,2024-01-03,Januari,96.8,174,5,87,08:43
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,10,2024-02-09,Februari,188.3,176,39,88,13:47
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,07,2024-02-22,Februari,156.2,152,48,75,06:19
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,03,2024-03-07,Maret,127.9,126,13,96,09:34
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,15,2024-03-07,Maret,127.9,134,20,101,03:00
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,02,2024-04-24,April,39.7,49,1,11,09:23
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,03,2024-05-24,Mei,32.6,47,1,16,05:51
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,11,2024-06-02,Juni,44.9,3,6,18,16:13
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,13,2024-07-26,Juli,60.1,62,6,22,07:06
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,15,2024-08-10,Agustus,20.2,10,2,21,08:31
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,11,2024-09-13,September,35.9,50,0,25,05:03
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,05,2024-10-22,Oktober,123.4,154,29,105,07:08
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,12,2024-10-14,Oktober,155.9,179,31,133,21:09
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,02,2024-11-14,November,175.3,214,22,50,23:17
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,04,2024-11-20,November,152.4,205,23,40,04:20
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,07,2024-12-06,Desember,110.8,71,20,117,06:33
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,12,2024-12-10,Desember,131.4,84,12,105,04:46
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,10,2024-01-12,Januari,104.1,130,43,52,01:13
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,08,2024-01-18,Januari,87.3,140,43,55,02:35
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,14,2024-02-01,Februari,90.7,241,30,105,04:00
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,10,2024-02-01,Februari,88.1,230,29,126,01:44
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,12,2024-03-02,Maret,144.7,78,38,65,00:17
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,08,2024-03-28,Maret,152.2,73,33,67,13:35
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,11,2024-04-17,April,1.5,41,3,4,10:32
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,11,2024-05-26,Mei,51.8,34,7,9,13:37
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,07,2024-06-02,Juni,17.4,25,8,31,03:35
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,03,2024-07-04,Juli,58.1,6,4,5,13:32
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,03,2024-08-16,Agustus,3.6,23,8,8,16:22
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,09,2024-09-02,September,52.0,62,2,32,09:08
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,10,2024-10-05,Oktober,51.1,194,23,44,06:26
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,14,2024-10-23,Oktober,46.5,181,8,70,13:03
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,02,2024-11-07,November,132.9,148,7,65,19:51
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,14,2024-11-26,November,123.3,163,4,61,08:41
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,09,2024-12-08,Desember,91.1,66,25,102,17:39
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,08,2024-12-03,Desember,102.1,54,19,119,12:06
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,04,2024-01-19,Januari,125.0,95,16,77,11:44
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,15,2024-01-27,Januari,100.5,98,33,59,21:57
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,13,2024-02-25,Februari,196.7,109,44,57,15:34
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,13,2024-02-25,Februari,202.8,115,37,68,13:11
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,01,2024-03-08,Maret,156.8,171,24,114,04:35
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,05,2024-03-09,Maret,141.4,171,26,121,05:29
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,13,2024-04-18,April,22.8,22,12,24,17:08
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,10,2024-05-07,Mei,38.2,29,7,16,01:06
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,03,2024-06-17,Juni,46.1,9,12,32,19:57
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,10,2024-07-09,Juli,48.1,31,1,28,07:46
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,11,2024-08-18,Agustus,37.7,10,4,17,06:48
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,12,2024-09-24,September,27.1,52,3,40,12:47
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,03,2024-10-07,Oktober,144.7,127,24,54,10:34
